title,imdbid,imdbscore,imdbvotes,releaseyear
Rita,tt1973692,8.1,8718,2012
Wolverine,tt1847521,6.2,1458,2011
LEGO City,tt7530250,5,37,2011
MeatEater,tt2169245,7.5,1462,2012
Outback Truckers,tt5632186,7.4,264,2012
LEGO Friends,tt9148446,7.6,16,2012
La Reina del Sur,tt1704637,8,2445,2011
Pablo Escobar The Drug Lord,tt2187850,8.4,4923,2012
Larva,tt6966158,7.1,582,2011
The Ultimate Braai Master,tt3264864,8.2,31,2012
Minecraft Story Mode,tt10498322,5.5,300,2011
EastSiders,tt2558816,6.8,2723,2012
Smile PreCure,tt2230557,6.1,388,2012
Robocar Poli,tt4763642,5.8,125,2011
Little Baby Bum,tt10051854,6.4,94,2011
The American Bible Challenge,tt2246424,6.4,125,2012
Inside West Coast Customs,tt8358972,7.4,42,2011
Mashas tales,tt3840498,6.4,89,2012
El Reemplazante,tt2488050,8.5,755,2012
Justin Time,tt1759210,6,16,2011
Meet the Adebanjos,tt2344781,7.6,76,2012
The Oath,tt7131686,7.9,9,2011
Inborn Pair,tt6357282,7.1,108,2011
Office Girls,tt4381290,6.9,140,2011
Love Now,tt6273116,7.6,116,2012
Drunken to Love You,tt2661520,6.5,114,2011
Takki,tt6052432,6.5,250,2012
Yours Fatefully,tt7131690,6.8,14,2012
The Glamorous Imperial Concubine,tt2272555,7,142,2011
Outlander,tt3006802,8.4,152435,2014
Peaky Blinders,tt2442560,8.8,485506,2013
Attack on Titan,tt2560140,9,325381,2013
The Blacklist,tt2741602,8,238138,2013
Married at First Sight,tt3868860,6.1,1975,2014
The Flash,tt3107288,7.6,336888,2014
Gotham,tt3749900,7.8,226081,2014
Are You The One,tt3484274,6.5,2450,2014
The 100,tt2661044,7.6,242221,2014
How to Get Away with Murder,tt3205802,8.1,146712,2014
Reign,tt2710394,7.5,47751,2013
BoJack Horseman,tt3398228,8.8,143584,2014
House of Cards,tt1856010,8.7,494092,2013
Henry Danger,tt3596174,5.6,5245,2014
Orange Is the New Black,tt2372162,8.1,295591,2013
The Originals,tt2632424,8.3,131574,2013
Jane the Virgin,tt3566726,7.8,46286,2014
Marco Polo,tt2189461,8,71229,2014
Wentworth,tt2433738,8.6,21747,2013
Madam Secretary,tt3501074,7.6,22563,2014
KILL la KILL,tt3114390,7.9,13372,2013
Z Nation,tt3843168,6.6,36059,2014
From Dusk Till Dawn The Series,tt3337194,6.9,20132,2014
Derek,tt2616280,8.1,31976,2013
The Thundermans,tt2712516,5.6,5340,2013
Hemlock Grove,tt2309295,7,39590,2013
The Seven Deadly Sins,tt3909224,7.9,30341,2014
Sofia the First,tt2136138,6.8,2915,2013
Sailor Moon Crystal,tt3124992,7.8,2115,2014
Lovesick,tt4051832,8.1,19259,2014
Shtisel,tt3069894,8.6,6958,2013
The Chase,tt3077336,7.5,886,2013
The Night Shift,tt1483202,7.5,12069,2014
The Next Step,tt2374744,5.9,1928,2013
Velvet,tt2955402,8.1,6018,2014
Zach Stone Is Gonna Be Famous,tt1748277,8.3,3616,2013
The Irregular at Magic High School,tt3874528,7.1,3273,2014
Resurrection Ertugrul,tt4320258,7.9,35515,2014
Dreamworks How to Train Your Dragon Legends,tt6963396,7.3,264,2013
Rabbids Invasion,tt3105674,5.5,1802,2013
The Cat in the Hat Knows a Lot About That,tt1699440,6.4,620,2013
Girlfriends Guide to Divorce,tt2817246,6.9,4523,2014
Tiny House Nation,tt3869500,7.1,1126,2014
Talking Tom and Friends,tt4648640,6.1,411,2014
Ever After High,tt3312378,7.7,1130,2013
Yowamushi Pedal,tt2942228,7.7,808,2013
Sam and Cat,tt2487090,5.6,9507,2013
The Heirs,tt3243098,7.5,10329,2013
Young and Hungry,tt2084712,7.3,15627,2014
Nicky Ricky Dicky and Dawn,tt3596176,5.1,2551,2014
The Haunted Hathaways,tt2535732,5,2471,2013
Black Money Love,tt3565486,7.4,5975,2014
Angry Birds Toons,tt3012598,6.2,800,2013
Mako Mermaids An H2O Adventure,tt2548214,6.7,3924,2013
Lalaloopsy,tt2827502,6.4,104,2013
Senora Acero,tt3904068,6.8,375,2014
PacMan and the Ghostly Adventures,tt2392179,4.8,635,2013
Zbrodnia,tt4173216,6.2,660,2014
Black Ink Crew New York,tt2738096,4.6,459,2013
NagiAsu A Lull in the Sea,tt3104236,7.3,1152,2013
Moving Art,tt6953912,8.6,442,2014
VeggieTales in the House,tt3692064,4.3,300,2014
Booba,tt6581428,7,390,2014
20 Minutes,tt2544148,7.3,1681,2013
Dokidoki PreCure,tt4621212,6.3,188,2013
Mashas Spooky Stories,tt4570676,6.1,65,2014
All Hail King Julien,tt3807022,7,2008,2014
Some Assembly Required,tt1160042,8.5,22,2014
Incomplete Life,tt4240730,8.6,1883,2014
Raja Rasoi Aur Anya Kahaniyaan,tt6953924,9,327,2014
That Winter the Wind Blows,tt2806646,7.6,1803,2013
Dharmakshetra,tt6803712,8.2,247,2014
Against the Tide,tt7131682,7.6,11,2014
Turbo FAST,tt3010520,6.5,593,2013
Sammy and Co,tt2580128,5.6,30,2014
Boss and Me,tt6186406,7.3,424,2014
Two Fathers,tt6707142,8,54,2013
Mystic Whispers,tt8834748,6.9,17,2014
Ojos in d House,tt12960266,6.1,11,2013
Better Call Saul,tt3032476,8.8,404920,2015
The Last Kingdom,tt4179452,8.5,126473,2015
Stranger Things,tt4575572,8.7,989090,2016
Schitts Creek,tt3526078,8.5,112537,2015
Alone,tt4803766,8.4,4622,2015
