title,imdbid,imdbscore,imdbvotes,releaseyear
Julie and the Phantoms,tt10183988,8.4,9461,2020
Someone Has to Die,tt10311932,6.3,4718,2020
The Uncanny Counter,tt13273826,8,5552,2020
Self Made Inspired by the Life of Madam CJ Walker,tt8771910,7.3,11586,2020
V Wars,tt7403736,6.1,13531,2019
The Naked Director,tt10477528,7.7,6052,2019
The BabySitters Club,tt8690518,7.3,3786,2020
The Letter for the King,tt8741648,5.9,7376,2020
Black Dog,tt11377920,7.7,129,2019
Tiny Pretty Things,tt10767748,5.9,9115,2020
Frontera Verde,tt9641192,7.3,2481,2019
Romance Is a Bonus Book,tt9130542,8,5034,2019
No Good Nick,tt9039142,6,2843,2019
SanPa Sins of the Savior,tt13731400,7.8,1488,2020
Persona,tt10027990,6.6,1164,2019
BNA,tt12013558,7.2,2478,2020
Carmen Sandiego,tt7042146,7.9,5557,2019
The Liberator,tt9308682,7.6,5942,2020
Trial by Media,tt11963042,7.1,3096,2020
Connected,tt12753692,7.5,1704,2020
Love Alarm,tt9145880,6.8,5262,2019
The Eddy,tt7322210,7.1,2908,2020
Love and Anarchy,tt10888876,7.4,7896,2020
Arthdal Chronicles,tt8750956,8.3,4200,2019
The Mess You Leave Behind,tt9731242,6.8,8848,2020
Carole and Tuesday,tt8107988,7.8,1979,2019
Vampires,tt11829316,5.6,1234,2020
The Trial,tt10549212,7.2,3032,2019
Killer Ratings,tt10243692,7.6,1671,2019
The Last Kids on Earth,tt8914012,7.3,1293,2019
Japan Sinks 2020,tt12031040,6.4,2922,2020
Lenox Hill,tt12190580,8.7,2276,2020
The Alcaesser Murders,tt8035424,7.1,2127,2019
We Are the Wave,tt11053220,6.2,2637,2019
The Possessed,tt12929796,5.7,882,2020
Kevin Hart Dont Fuck This Up,tt11313054,6.4,2009,2019
Touch Your Heart,tt9466990,7.7,3046,2019
Vagabond,tt8523042,8.2,7544,2019
Love 101,tt10516352,7.5,13797,2020
The Big Flower Fight,tt12200714,7.4,1178,2020
Lovestruck in the City,tt13394544,7.7,2129,2020
Hospital Playlist,tt11769304,8.8,4836,2020
How to Fix a Drug Scandal,tt11958942,7,3232,2020
Dream Home Makeover,tt13161310,5.5,1078,2020
Ricky Zoom,tt10932166,6.3,90,2019
The Barrier,tt9460858,6.8,3447,2020
Power Players,tt10895604,5.9,84,2019
Fast and Furious Spy Racers,tt8322592,5.7,1444,2019
Ashley Garcia Genius in Love,tt10380934,6.8,1183,2020
The Playbook,tt12930602,7.4,1360,2020
Family Business,tt10423460,7.4,3907,2019
We Are the Champions,tt12409154,7.1,1379,2020
My First First Love,tt8995604,7.5,2163,2019
Alien Worlds,tt13464340,6.5,3509,2020
The InBESTigators,tt9332962,8.1,783,2019
The Circle France,tt9581778,7.4,692,2020
AJ and the Queen,tt8404094,7.4,7961,2020
Breakfast Lunch and Dinner,tt10681670,6.7,1045,2019
Mythomaniac,tt10677432,6.7,1274,2019
The American Barbecue Showdown,tt12938472,7.1,1151,2020
History 101,tt11958648,6.8,4031,2020
Twice Upon a Time,tt7943036,6.3,987,2019
Lunatics,tt8164794,6.6,3136,2019
Chefs Table BBQ,tt12917170,7.8,981,2020
Who Killed Little Gregory,tt11269714,7.4,2908,2019
Schulz Saves America,tt13607518,7.3,1069,2020
Criminal Germany,tt10986056,7.7,5108,2019
Heaven Officials Blessing,tt13375866,8.3,1349,2020
Girls from Ipanema,tt8001788,7.8,3423,2019
Do Do Sol Sol La La Sol,tt12850262,7.4,1465,2020
Taj Mahal 1989,tt11725706,7.4,1522,2020
Glow Up Britains Next MakeUp Star,tt9680524,6.8,1975,2019
Magical Andes,tt11816968,7.8,523,2019
Dragons Rescue Riders,tt10687134,5.9,304,2019
My Perfect Landing,tt10268080,6.6,161,2020
The Crowned Clown,tt9266592,8,880,2019
Mr Iglesias,tt8403536,7.1,6703,2019
Crime Diaries Night Out,tt10242266,7.3,850,2019
Awake The Million Dollar Game,tt10370956,5.9,759,2019
Oktoberfest Beer and Blood,tt10244612,6.8,2119,2020
SAINT SEIYA Knights of the Zodiac,tt6908976,4.5,1808,2019
Hache,tt8575476,6.5,1610,2019
LEGO Marvel Avengers Climate Conundrum,tt13783758,6.6,65,2020
The Chosen One,tt9048368,5.7,661,2019
Mystic Popup Bar,tt12246190,8,1977,2020
Big Timber,tt13322572,6.5,577,2020
Carmel Who Killed Maria Marta,tt13244092,7,2375,2020
Morphle,tt10087694,5.1,77,2019
Nisman The Prosecutor the President and the Spy,tt11618264,7.6,569,2019
Women of the Night,tt7785420,6.3,871,2019
100 Humans Lifes Questions Answered,tt11823088,5.7,3958,2020
Nobodys Looking,tt11131980,7.7,1956,2019
Hi Bye Mama,tt11804034,8,1561,2020
Heroes of Goo Jit Zu,tt10589932,7.5,23,2019
The Last Word,tt10506510,7,948,2020
The Innocence Files,tt11958922,8,2622,2020
Mortel,tt8403570,6.5,1390,2019
Next in Fashion,tt10394770,7.3,3572,2020
Losers,tt9817218,7.6,1741,2019
Kota Factory,tt9432978,9.3,66985,2019
The School Nurse Files,tt12879522,6.4,1147,2020
Monarca,tt8655736,7.8,3210,2019
Les de lhoquei,tt9486226,6.8,429,2019
La Lanea Shadow of Narco,tt12875794,6.4,386,2020
The Witcher A Look Inside the Episodes,tt12748032,7.1,151,2020
Gigantosaurus,tt9636800,6.9,159,2019
Family Reunion,tt9153270,6.4,2576,2019
Record of Youth,tt12850322,7.3,2278,2020
You Cannot Hide,tt10367990,6.4,1098,2019
The Minions of Midas,tt10147520,6.6,4065,2020
Osmosis,tt7043380,5.8,3003,2019
Drug Squad Costa del Sol,tt8478108,6.8,554,2019
Twelve Forever,tt8009622,6.6,664,2019
Jinn,tt10751504,3.5,10043,2019
Always a Witch,tt8001250,6.3,2406,2019
My Holo Love,tt11058644,7.6,2401,2020
Flavorful Origins,tt9708598,7.6,592,2019
Yankee,tt9046782,5.9,687,2019
Omniscient,tt11542920,6.5,2089,2020
Seis Manos,tt10106108,7.1,1573,2019
Apache The Life of Carlos Tevez,tt10715172,7.3,1582,2019
You vs Wild,tt10044952,6.6,2570,2019
Immigration Nation,tt12754910,7.4,1096,2020
The Cabin with Bert Kreischer,tt13148876,6.6,1637,2020
The Stranded,tt9310400,6.2,1241,2019
Who Killed Malcolm X,tt10948316,7.5,2125,2019
Pandemic How to Prevent an Outbreak,tt11497904,6.3,2759,2020
Luna Nera,tt8403622,6,2883,2020
Reality Z,tt10241238,5.6,2437,2020
The Least Expected Day Inside the Movistar Team 2019,tt12048124,7.4,756,2020
Rookie Historian Goo HaeRyung,tt10406128,8.2,1937,2019
Delhi Crime,tt9398466,8.5,18732,2019
The Surgeons Cut,tt13487106,8.5,1010,2020
Can You Hear Me,tt9747016,7.6,688,2019
BREAK IT ALL The History of Rock in Latin America,tt13570366,7.6,1215,2020
Terrace House Tokyo 20192020,tt10686814,7.4,691,2019
Queen Sono,tt9426290,5.9,1226,2020
The Goop Lab,tt11561206,2.5,3306,2020
The Great Heist,tt12624844,7.3,2528,2020
Pup Academy,tt10302548,6.6,498,2019
The Kings Avatar,tt10732794,8.2,1042,2019
Worlds Most Wanted,tt12753698,7.1,2481,2020
Street Food,tt10050778,7.9,2712,2019
Home Game,tt12429046,7,841,2020
The Unlisted,tt9184592,6.7,899,2019
45 RPM,tt8987918,7.2,497,2019
Trailer Park Boys The Animated Series,tt9814900,7.6,2854,2019
El Dragon Return of a Warrior,tt9281190,6.8,1853,2019
Malibu Rescue The Series,tt9098432,5.4,979,2019
Private Lives,tt12560270,6.7,595,2020
Win the Wilderness Alaska,tt11718294,6.9,724,2020
7SEEDS,tt9348718,6.3,1378,2019
Jamtara Sabka Number Ayega,tt11150912,7.3,6165,2020
Hyena,tt11534164,7.7,765,2020
Stolen Away,tt10064124,7.1,2314,2020
Search WWW,tt10253244,7.9,1308,2019
Hook,tt12659696,6.5,25,2020
I Hear You,tt10327440,7.3,560,2019
Leila,tt7259274,4.7,8796,2019
Merry Happy Whatever,tt9777322,6.4,4542,2019
WellIntended Love,tt9886950,7.2,1433,2019
The Neighbor,tt9731222,6.5,2125,2019
The Healing Powers of Dude,tt10540562,6.5,873,2020
Back with the Ex,tt11272424,6.2,615,2019
Triad Princess,tt9314996,6.8,658,2019
Last One Standing,tt11465292,7,18,2019
The Big Show Show,tt10726356,6.3,2375,2020
The Lies Within,tt10919902,7,365,2019
Go Live Your Way,tt9654086,6.7,606,2019
One Spring Night,tt10192576,7.9,2503,2019
Designated Survivor 60 Days,tt10340990,8.1,1201,2019
Cannon Busters,tt5066664,6.7,1172,2019
Million Dollar Beach House,tt12882136,4.2,804,2020
Absurd Planet,tt12027008,3.9,1459,2020
My Husband Wont Fit,tt10027946,6.7,798,2019
Whose Vote Counts Explained,tt13005714,7.3,1139,2020
When the Camellia Blooms,tt10826064,8,2371,2019
revisions,tt9522354,5.9,598,2019
The Prince of Tennis Match Tennis Juniors ,tt10097916,7.6,206,2019
Ultramarine Magmell,tt11025120,6,610,2019
Jailbirds,tt1176289,7,1160,2019
Trial 4,tt13363298,7.4,2039,2020
Restaurants on the Edge,tt8784324,6.7,972,2019
The Victims Game,tt12079212,7.3,1356,2020
Shaun the Sheep Adventures from Mossy Bottom,tt11983342,8.1,551,2020
Examination of Conscience,tt9584024,7.8,422,2019
Playing with Fire,tt9587732,5.9,944,2019
Mystery Lab,tt12723962,7.4,769,2020
Its Bruno,tt10186846,7.5,2886,2019
Shadow,tt9817236,6.6,956,2019
Rhythm plus Flow,tt9278032,7.6,1541,2019
The 43,tt9789272,7.1,140,2019
Secreto bien guardado,tt10702412,4.9,188,2019
Flinch,tt9196244,4.4,703,2019
The Unsettling,tt8680902,5.2,712,2019
Maradona in Mexico,tt11168104,7.3,1119,2019
Brews Brothers,tt10930958,5.1,1944,2020
The Circle Brazil,tt9581782,6.8,761,2020
Drifting Dragons,tt11418344,6,569,2020
The Idhun Chronicles,tt9731266,5.3,563,2020
Alien TV,tt12765530,6.3,293,2020
Was It Love,tt12525622,7.1,870,2020
Tiny Creatures,tt12759334,5,1210,2020
Legend of Exorcism,tt14994658,7.7,80,2020
The Business of Drugs,tt12588416,7.2,1646,2020
Social Distance,tt14773740,5.7,651,2020
The Ghost Bride,tt9690302,6.3,716,2020
Puerta 7,tt9170386,5.6,542,2020
Singapore Social,tt11194508,4.9,3670,2019
Huge in France,tt8009602,6.8,2809,2019
Room 2806 The Accusation,tt13540900,7,2298,2020
Bolavar Una lucha admirable,tt9327242,7.3,743,2019
Nowhere Man,tt10895588,5.6,360,2019
Monzan A Knockout Blow,tt9852660,7.9,717,2019
A Perfect Crime,tt12939836,7.3,1394,2020
Felipe Esparza Bad Decisions,tt12875768,5.4,166,2020
Crime Diaries The Candidate,tt9327348,7.5,803,2019
Best Leftovers Ever,tt13563634,5.6,515,2020
Betaal,tt10651790,5.4,8884,2020
Dating Around,tt9654080,6.3,1204,2019
Good Morning Veronica,tt12987918,7.6,3552,2020
Mismatched,tt12719250,5.5,3712,2020
Rilakkuma and Kaoru,tt9348716,8.3,1579,2019
Hello Ninja,tt10687170,6.7,119,2019
Stay Tuned,tt10088086,7.5,343,2019
Happy Jail,tt10753590,6.9,247,2019
Say I Do,tt12540060,7.7,527,2020
Sintonia,tt8165086,6.7,1067,2019
The Writer,tt10312958,8.2,30,2019
Bread Barbershop,tt12912830,7.3,125,2020
Korean Pork Belly Rhapsody,tt14017966,7.7,62,2020
Booba Food Puzzle,tt12319946,8.3,30,2020
COMEDIANS of the world,tt8685446,6.5,450,2019
The Queen and the Conqueror,tt10348700,6.6,172,2020
Skin Decision Before and After,tt12588326,5.8,405,2020
The Fabulous Lives of Bollywood Wives,tt13452100,5.3,9666,2020
El Final del Paraiso,tt10367818,5.1,208,2019
Typewriter,tt9310372,6.5,3788,2019
Southern Survival,tt12588286,5.1,454,2020
How To Ruin Christmas,tt13492362,6.1,488,2020
Trigger Warning with Killer Mike,tt9426194,6.9,1249,2019
Masaba Masaba,tt10655506,6.8,1746,2020
Until Dawn,tt11434862,2.5,148,2020
The Good Bandit,tt9328616,7.8,99,2019
Los Brice una familia todo terreno,tt10348478,8,133,2019
Three Days of Christmas,tt9731254,6.8,1243,2019
Astronomy Club The Sketch Show,tt10675488,6.9,591,2019
Dollar,tt10687564,6.6,592,2019
Styling Hollywood,tt10715202,6.6,355,2019
Narcoworld Dope Stories,tt11215112,6.6,317,2019
Sugar Rush Christmas,tt11168116,6.8,578,2019
Handsome Siblings,tt11541444,7.9,614,2020
Queer Eye Were in Japan,tt10971532,8.2,2560,2019
Bard of Blood,tt8069036,6.8,13210,2019
Find Yourself,tt11569628,7.6,201,2020
21 Again,tt9315008,5.4,47,2019
Archibalds Next Big Thing,tt9165404,7.5,284,2019
Prank Encounters,tt10487072,5.2,2615,2019
The Iliza Shlesinger Sketch Show,tt11092086,5,914,2020
Levius,tt10619444,6.9,528,2019
Go Go Cory Carson,tt8115702,7.9,238,2020
DeMarcus Family Rules,tt12759420,6.2,110,2020
My Dear Warrior,tt11281912,4.6,19,2019
Team Kaylie,tt9717424,4,333,2019
Tobot Galaxy Detectives,tt12892186,7,13,2020
Put Your Head on My Shoulder,tt10265158,8,2063,2019
Green Door,tt9817290,6.5,128,2019
GAME ON A Comedy Crossover Event,tt12800428,5.4,213,2020
The Underclass,tt12666950,6.4,62,2020
Cricket Fever Mumbai Indians,tt8531592,7.2,699,2019
The Unremarkable Juanquini,tt12189308,4.3,189,2020
Tijuana,tt8027624,6.9,327,2019
Juman,tt12567164,5.2,110,2019
YooHoo to the Rescue,tt9817288,6.8,53,2019
Sing On Germany,tt12748264,5.4,136,2020
Sing On,tt12923734,6.4,380,2020
Living Undocumented,tt10977486,6.7,577,2019
Paava Kadhaigal,tt13206988,8.1,6628,2020
The Devil Punisher,tt13317376,5.9,157,2020
Nailed It Mexico,tt9708588,6.2,308,2019
Country Ever After,tt12987872,6.3,169,2020
Mighty Little Bheem,tt10050752,6.4,249,2019
Rhyme Time Town,tt9165434,7.5,78,2020
Sakho and Mangane,tt9391692,6.5,131,2019
Coronavirus Explained,tt12189310,7.6,2223,2020
Hasmukh,tt9359294,5.3,2673,2020
A Little Thing Called First Love,tt11152058,8,366,2019
Tiffany Haddish Presents They Ready,tt10085386,6.5,555,2019
A Queen Is Born,tt12571792,5.9,148,2020
Sing On Spain,tt11698668,6,130,2020
Cooked With Cannabis,tt12176398,6.5,340,2020
Voices of Fire,tt13329282,6.8,382,2020
No hay tiempo para la vergenza,tt11215130,5.7,82,2019
Legend Quest Masters of Myth,tt10228032,7.6,126,2019
Badanamu Stories,tt14857600,3.4,6,2020
Hong Kong West Side Stories,tt10284430,5.7,6,2019
Charlies Colorforms City,tt8115672,7,148,2019
The Legend of White Snake,tt10628250,7.4,224,2019
Bangkok Love Stories Plead,tt10438656,7.3,57,2019
Dino Girl Gauko,tt10380814,6.6,71,2019
Bookmarks Celebrating Black Voices,tt12923664,5,160,2020
Arashis Diary Voyage,tt11434874,7.7,42,2019
Lugar de Mulher,tt11215186,4.7,35,2019
Mighty Little Bheem Festival of Colors,tt11738790,7.2,37,2020
A Thousand Goodnights,tt10370952,8,93,2019
Nailed It Germany,tt11460744,5.7,100,2020
Six Windows in the Desert,tt11874042,4.3,3074,2020
Scams,tt10448486,6.4,362,2019
Wait My Youth,tt12071466,8.1,121,2019
Nailed It France,tt10990804,6.4,112,2019
Bangkok Buddies,tt11513508,6.8,17,2019
Pinky Malinky,tt5621544,5.8,865,2019
The Charming Stepmom,tt13846404,7.8,17,2019
Once Upon a Time in Lingjian Mountain,tt11261994,7.5,261,2019
True Terrific Tales,tt12140808,5.7,22,2020
Somewhere Only We Know,tt10472296,7.3,158,2019
Anitta Made in Honorio,tt13486136,6.8,398,2020
In the Bosom of a Thorn,tt10397430,7.3,48,2019
Futmallscom,tt13652552,6.4,182,2020
Valentino,tt11508212,5.2,213,2020
JStyle Trip,tt11942052,4.9,111,2020
Online,tt11330500,5.5,21,2019
Sleepless Society NYCTOPHOBIA,tt10805822,5.5,43,2019
Holiday Home Makeover with Mr Christmas,tt13255112,5.8,291,2020
Buddi,tt11829340,7.1,61,2020
Ladies Up,tt11942100,4.3,234,2020
Kings of JoBurg,tt13453828,5.6,491,2020
The House Arrest of Us,tt13280838,5.6,107,2020
The Smart Money Woman,tt12428002,6.4,105,2020
Extreme Engagement,tt10521644,5.6,382,2019
Fary Hexagone,tt11823028,6.2,126,2020
True Tunes,tt10522374,8,14,2019
Children of Adam,tt12434912,7.8,170,2020
Word Party Songs,tt12748268,3.6,18,2020
The Defected,tt10141612,7.4,68,2019
Mighty Little Bheem Diwali,tt10987498,7.7,35,2019
A Perfect Day for Arsenide,tt14592684,5,16,2020
Anatomy of a Scandal,tt12748084,7,16425,2022
Heartstopper,tt10638036,8.9,28978,2022
The Pentaverate,tt10203880,6.1,3409,2022
Inventing Anna,tt8740976,6.8,54105,2022
Pieces of Her,tt9170236,6.4,11322,2022
Conversations with a Killer The John Wayne Gacy Tapes,tt18970124,7.2,3984,2022
Pacific Rim The Black,tt9288848,7,4796,2021
Vikings Valhalla,tt11311302,7.1,31330,2022
Arcane,tt11126994,9.1,175412,2021
Hold Tight,tt15019128,6.1,1113,2022
Bad Vegan Fame Fraud Fugitives,tt18260538,5.8,2062,2022
Midnight Mass,tt10574558,7.7,102321,2021
Murderville,tt15264192,6.9,10414,2022
Clark,tt12304420,7.5,1991,2022
The Ultimatum Marry or Move On,tt18396952,5.4,1440,2022
Hard Cell,tt14959710,6.1,618,2022
The Woman in the House Across the Street from the Girl in the Window,tt13315324,6.3,38964,2022
Archive 81,tt13365348,7.3,43068,2022
Jimmy Savile A British Horror Story,tt18970454,6.7,4711,2022
Squid Game,tt10919420,8,416738,2021
Yakamoz S245,tt13317454,6.1,3861,2022
Welcome To Eden,tt13457822,4.9,973,2022
Stay Close,tt2201227,6.9,28669,2021
Maid,tt11337908,8.4,74955,2021
The Marked Heart,tt18974572,6.3,1103,2022
Meltdown Three Mile Island,tt19757508,7,958,2022
Shadow and Bone,tt2403776,7.6,77782,2021
Lupin,tt2531336,7.5,100575,2021
Brand New Cherry Flavor,tt11343600,7.1,14449,2021
Human Resources,tt11092142,7.2,4761,2022
All of Us Are Dead,tt14169960,7.5,41393,2022
Heirs to the Land,tt13308276,7,599,2022
Behind Her Eyes,tt9698442,7.2,57514,2021
Is It Cake?,tt18314214,5.7,465,2022
The Andy Warhol Diaries,tt18082212,7.7,1496,2022
The Cuphead Show,tt10611608,7.5,5792,2022
Cowboy Bebop,tt1267295,6.6,35427,2021
The 7 Lives of Lea,tt14140886,7.5,1196,2022
The Silent Sea,tt11570202,6.9,18548,2021
Sweet Tooth,tt12809988,7.8,49182,2021
Clickbait,tt10888878,7.2,50140,2021
Worst Roommate Ever,tt8323702,8.1,8,2022
Hellbound,tt12235718,6.6,22107,2021
In from the Cold,tt11859542,6.2,6663,2022
Komi Cant Communicate,tt14626352,7.8,4358,2021
Tomorrow,tt18926162,7.7,603,2022
Ginny and Georgia,tt10813940,7.4,44573,2021
Inside Job,tt10231312,7.6,15137,2021
Dirty Lines,tt14859224,7.3,717,2022
Trivia Quest,tt18393972,5.6,176,2022
The Chair,tt11834150,7.2,15894,2021
Sex and Life,tt10839422,5.4,19604,2021
The Chestnut Man,tt10834220,7.7,41253,2021
My Liberation Notes,tt15146130,8.4,276,2022
jeenyuhs,tt14599438,8.1,7269,2022
True Story,tt13655456,7.5,16927,2021
Halston,tt10920514,7.5,14040,2021
Anxious People,tt11168604,6.8,3709,2021
Young Royals,tt14664414,8.3,26732,2021
Resident Evil Infinite Darkness,tt13173456,5.8,9500,2021
Our Blues,tt19115260,7.7,209,2022
The Serpent,tt7985576,7.6,41782,2021
Hit and Run,tt9073940,7.1,8367,2021
Murder Among the Mormons,tt13987620,7,6028,2021
Katla,tt11102190,7,13095,2021
The Last Bus,tt12885670,5,500,2022
Cracow Monsters,tt15096836,5.5,1492,2022
The Puppet Master Hunting the Ultimate Conman,tt15479704,7,5224,2022
Twenty Five Twenty One,tt17513352,8.7,4081,2022
Firefly Lane,tt9012876,7.4,20300,2021
The Billion Dollar Code,tt15392100,8,7313,2021
The Principles of Pleasure,tt18299058,4.7,64,2022
Attenboroughs Life in Colour,tt11053426,8.2,3090,2021
Making Fun,tt17737382,7,557,2022
The Irregulars,tt10893694,5.9,14714,2021
My Name,tt12940504,7.8,18446,2021
Turning Point 9 and 11 and the War on Terror,tt15260794,8,8881,2021
How to Become a Tyrant,tt14832996,7.4,8041,2021
Who Killed Sara,tt11937816,6.4,12148,2021
The Innocent,tt10147644,7.8,29019,2021
Masters of the Universe Revelation,tt10826054,5.2,26127,2021
Maya and the Three,tt8787772,8.1,3597,2021
Night Stalker The Hunt for a Serial Killer,tt13651632,7.5,23939,2021
The Girl from Oslo,tt13968792,6.3,2973,2021
Samurai Rabbit The Usagi Chronicles,tt12717354,6.6,148,2022
Vincenzo,tt13433812,8.4,15134,2021
The One,tt13879466,6.6,12367,2021
Feria The Darkest Light,tt13323004,5.7,1532,2022
Midnight at the Pera Palace,tt13317508,7.1,6624,2022
VOIR,tt15677070,6.8,1255,2021
Jupiters Legacy,tt5774002,6.7,37235,2021
Pretend Its a City,tt13660958,8.1,7096,2021
Crime Scene The Vanishing at the Cecil Hotel,tt13840586,5.9,16799,2021
Super Crooks,tt14272628,7.1,1984,2021
Life After Death with Tyler Henry,tt18224644,5.5,522,2022
Catching Killers,tt15723914,7.1,2908,2021
Animal,tt15674216,7.9,857,2021
Hometown ChaChaCha,tt14518756,8.5,9987,2021
Green Mothers Club,tt15060900,7.1,38,2022
Chosen,tt16492950,4.3,1111,2022
An astrological guide for broken hearts,tt14759406,7.1,2827,2021
Sophie A Murder in West Cork,tt14681732,6.8,5093,2021
Standing Up,tt18260550,6.2,133,2022
Who Rules The World,tt14950036,9.2,81,2022
Monsters Inside The 24 Faces of Billy Milligan,tt15287836,6.2,3038,2021
Countdown Inspiration4 Mission to Space,tt15166116,7.9,1642,2021
Glória,tt13064634,8,3941,2021
This Is a Robbery The Worlds Biggest Art Heist,tt14223858,6.5,4246,2021
Heist,tt14865290,6.8,1698,2021
History of Swear Words,tt13617060,6.4,4776,2021
Trese,tt9310336,7,3701,2021
The Sound of Magic,tt14460684,8,982,2022
Hes Expecting,tt14719276,1.6,2735,2022
HeMan and the Masters of the Universe,tt11465278,5.8,1618,2021
Colin in Black and White,tt12624928,5.4,7021,2021
The Sons of Sam A Descent Into Darkness,tt13156316,7,8124,2021
Crime Scene The Times Square Killer,tt16027926,6.5,3355,2021
Gone for Good,tt14252964,6.3,3863,2021
HighRise Invasion,tt13357164,6.6,2575,2021
Record of Ragnarok,tt13676344,6.2,4647,2021
Money Explained,tt14492910,6.9,2143,2021
The Way of the Househusband,tt13357124,7.3,3724,2021
Fate The Winx Saga,tt8179402,6.8,37995,2021
Shaman King,tt12502782,7,1480,2021
Jaguar,tt11698590,5.7,1718,2021
Yasuke,tt9310330,6.2,4999,2021
Saturday Morning All Star Hits,tt15978256,7.6,846,2021
Post Mortem No One Dies in Skarnes,tt13053222,7.1,3229,2021
The Cook of Castamar,tt12626014,7.4,3637,2021
ThirtyNine,tt15309342,7.9,150,2022
Bulgasal Immortal Souls,tt14691616,7.4,1897,2021
Pretty Smart,tt14369056,5.7,4209,2021
My Unorthodox Life,tt14398500,5.5,1170,2021
On the Verge,tt5540990,6.5,2841,2021
Devotion a Story of Love and Desire,tt13956560,6.4,1262,2022
Baki Hanma,tt13357140,6.6,1483,2021
Juvenile Justice,tt15553922,8,2163,2022
City of Ghosts,tt15477516,6.1,10,2021
DOTA Dragons Blood,tt14069590,7.8,17429,2021
Blue Period,tt14115912,7.7,1712,2021
The Club,tt13317582,7.9,7810,2021
The Raincoat Killer Chasing a Predator in Korea,tt15488654,6.4,1864,2021
School of Chocolate,tt15172154,7.6,1572,2021
Falling Into Your Smile,tt11290960,8.4,2019,2021
Godzilla Singular Point,tt13229964,6.5,1612,2021
Snabba Cash,tt10540276,7.6,8176,2021
Cocaine Cowboys The Kings of Miami,tt15049206,7.1,2624,2021
Wild Abandon,tt13317478,7.2,3634,2022
The Upshaws,tt10945036,6.8,2296,2021
Love ft Marriage and Divorce,tt13814840,6.6,433,2021
Neymar The Perfect Chaos,tt16428640,6.6,2907,2022
Nevertheless,tt14518284,7.2,4485,2021
Eden,tt10545250,6.6,1111,2021
Tribes of Europa,tt9184982,6.7,11794,2021
QForce,tt10140028,6.4,4963,2021
Bad Sport,tt15402912,7.3,1912,2021
Age of Samurai Battle for Japan,tt10551256,7.4,4022,2021
Bling Empire,tt13660962,5.8,2608,2021
Surviving Death,tt13649692,6.1,1991,2021
Dig Deeper The Disappearance of Birgit Meier,tt15771888,7.3,1622,2021
The Journalist,tt15101670,7,542,2022
Baking Impossible,tt15171996,7,1004,2021
Beyond Evil,tt13634872,8.1,2776,2021
Centaurworld,tt10919290,7.6,1939,2021
Power Rangers Dino Fury,tt12360292,7,479,2021
House of Secrets The Burari Deaths,tt14167390,7.4,9504,2021
Open Your Eyes,tt13495314,6.5,1413,2021
Tiger King The Doc Antle Story,tt16307970,6.2,1330,2021
Tear Along the Dotted Line,tt15614372,8.7,7595,2021
Feels Like Ishq,tt14163838,6.4,1514,2021
Octonauts Above and Beyond,tt15211330,7.4,66,2021
The Crew,tt10971022,6.5,5396,2021
The Unlikely Murderer,tt13735930,7,3954,2021
Byron Baes,tt14537060,2.6,445,2022
The Kingdom,tt15068148,6.5,1319,2021
Spycraft,tt13789092,6.7,1976,2021
Sex Love and Goop,tt15470160,4.8,713,2021
Thomas and Friends All Engines Go,tt14556544,1.7,509,2021
Sparking Joy with Marie Kondo,tt14550060,6.2,341,2021
Elite Short Stories Guzman Caye Rebe,tt14668192,7.4,2254,2021
Elite Short Stories Patrick,tt16306836,6.1,671,2021
Top Secret UFO Projects Declassified,tt14992232,5.5,1371,2021
Getting Curious with Jonathan Van Ness,tt16584084,7,494,2022
The Orbital Children,tt13351614,6.4,497,2022
Move to Heaven,tt11052470,8.6,5307,2021
Gabbys Dollhouse,tt9165438,7.2,344,2021
Fatma,tt11961378,7.4,8185,2021
Singles Inferno,tt16283666,7.2,1460,2021
Inspector Koo,tt14731794,6.9,534,2021
Last Chance U Basketball,tt13087512,8.3,2429,2021
Waffles + Mochi,tt14035218,7.5,463,2021
Sisyphus,tt13715448,7,3688,2021
Love is Blind Japan,tt15943826,7.1,394,2022
Back to 15,tt15301854,6.6,574,2022
Battle Kitty,tt10050740,7.4,60,2022
Misfit The Series,tt15517928,7.2,72,2021
Once Upon a Time Happily Never After,tt13560186,5.4,437,2022
Aranyak,tt14167344,7.9,7629,2021
Ganglands,tt13278100,7,2460,2021
Elite Short Stories Nadia Guzman,tt14671790,6.3,1851,2021
Swap Shop,tt15674202,6.7,325,2021
Headspace Guide to Meditation,tt13617024,8.4,1540,2021
Twenty Somethings Austin,tt15204216,6,427,2021
The Parisian Agency Exclusive Properties,tt14746934,7.4,593,2021
Penguin Town,tt14677850,7.9,824,2021
Kitz,tt12104930,5.7,2302,2021
This Is Pop,tt14155414,6.9,1076,2021
Elite Short Stories Phillipe Caye Felipe,tt16156744,6.2,655,2021
Luna Park,tt15349110,6.4,691,2021
Forecasting Love and Weather,tt15140592,7.2,1016,2022
Amend The Fight for America,tt13972246,7.8,1281,2021
Go Dog Go,tt10687202,7.2,179,2021
Selling Tampa,tt16227948,4.4,708,2021
Elves,tt13231962,5.5,4075,2021
Light the Night,tt15808044,7.4,968,2021
800 Meters,tt13323170,6.9,459,2022
Action Pack,tt15527308,6.5,66,2022
Finding Ola,tt12432642,7.6,1431,2022
Pui Pui Molcar,tt14202738,8.1,335,2021
Generation 56K,tt13524842,7.4,2317,2021
